Country Name ,Country Code,2010,2011,2012,2013,2014
Afghanistan,AFG,20.6,20.9,19.7,21.1,20.8
Angola,AGO,10.8,10.7,10.7,10.6,10.5
Albania,ALB,25.79,27,28.3,28.7,29.2
Arab world,ARB,25.05,28.11,29.11,29.3,29.7
United Arab Emirates,ARE,9.8,9.8,9.8,9.9,10
Argentina ,ARG,19.5,18.8,18.4,19.7,21.3
Armenia,ARM,38.29,38.7,35,32.5,35.1
Australia,AUS,11.4,11.4,11.7,12.2,13.1
Austria,AUT,8.8,8.2,8.7,9.1,9.2
Azerbaijan,AZE,14.6,14.5,14.3,13.4,13.6
Burundi,BDI,10.8,10.8,10.8,10.8,10.7
Belgium,BEL,22.5,18.7,19.7,23.1,23.6
Benin,BEN,2,2,2,1.8,1.7
Burkina Faso,BFA,5.19,5.3,5.2,5.2,5
Bangladesh,BGD,8.19,8.2,8.2,8.9,9.1
Bulgaria,BGR,22.9,25.2,28.2,29.7,25.9
Bahrian,BHR,10.2,11.4,10.5,10.6,10.9
Bahamas ,BHS,36,27.2,30.4,30.8,30.1
Bosnia ,BIH,57.1,57.1,61.7,57.4,57.5
Belarus,BLR,12.5,12.5,11.8,12,12
Belize,BLZ,20.9,24.3,26,22.4,22
